refid,int,comp,group,outcome,definition,units,fu,total,n1,n2,e1,e2,mean_pre1,sd_pre1,mean_pre2,sd_pre2,mean_post1,sd_post1,mean_post2,sd_post2,mean_ch1,t_ch1,se_ch1,sd_ch1,p_ch1,p_ch1_method,mean_ch2,t_ch2,se_ch2,sd_ch2,p_ch2,p_ch2_method,md_post,mdll_post,mdul_post,d_post,p_post,p_post_method,md_ch,mdll_ch,mdul_ch,d_ch,p_ch,p_ch_method
55,CWU,CWD,Overall,ABG  0-10 dB,"reported as the four-tone pure-tone average (PTA) (0.5, 1, 2, and 4 KHz) for air conduction minus the same average for bone conduction using air-conduction and bone-conduction values determined at the same time",,,36,22,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CWU,CWD,Overall,ABG  0-20 dB,"reported as the four-tone pure-tone average (PTA) (0.5, 1, 2, and 4 KHz) for air conduction minus the same average for bone conduction using air-conduction and bone-conduction values determined at the same time",,,36,22,14,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CWU,CWD,Overall,ABG 0-30 dB,"reported as the four-tone pure-tone average (PTA) (0.5, 1, 2, and 4 KHz) for air conduction minus the same average for bone conduction using air-conduction and bone-conduction values determined at the same time",,,36,22,14,14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CWU,CWD,Overall,Recidivism,"findings in all patients of cholesteatoma or cholesteatoma-free status at repeat-look surgery (plus subsequent clinical otoscopic detection). for each observation period by dividing the total
number of recurrences for each observation period by the total
number of patients in the study",,6,36,22,14,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CWU,CWD,Overall,Recidivism,"findings in all patients of cholesteatoma or cholesteatoma-free status at repeat-look surgery (plus subsequent clinical otoscopic detection). for each observation period by dividing the total
number of recurrences for each observation period by the total
number of patients in the study",,12,36,22,14,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CWU,CWD,Overall,Recidivism,"findings in all patients of cholesteatoma or cholesteatoma-free status at repeat-look surgery (plus subsequent clinical otoscopic detection). for each observation period by dividing the total
number of recurrences for each observation period by the total
number of patients in the study",,18,36,22,14,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CWU,CWD,Overall,Recidivism,"findings in all patients of cholesteatoma or cholesteatoma-free status at repeat-look surgery (plus subsequent clinical otoscopic detection). for each observation period by dividing the total
number of recurrences for each observation period by the total
number of patients in the study",,24,36,22,14,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CWU,CWD,Overall,Recidivism,"findings in all patients of cholesteatoma or cholesteatoma-free status at repeat-look surgery (plus subsequent clinical otoscopic detection). for each observation period by dividing the total
number of recurrences for each observation period by the total
number of patients in the study",,30,36,22,14,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CWU,CWD,Overall,Recidivism,"findings in all patients of cholesteatoma or cholesteatoma-free status at repeat-look surgery (plus subsequent clinical otoscopic detection). for each observation period by dividing the total
number of recurrences for each observation period by the total
number of patients in the study",,36,36,22,14,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CWU,CWD,Overall,Recidivism,"findings in all patients of cholesteatoma or cholesteatoma-free status at repeat-look surgery (plus subsequent clinical otoscopic detection). for each observation period by dividing the total
number of recurrences for each observation period by the total
number of patients in the study",,42,36,22,14,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CWU,CWD,Overall,Recidivism,"findings in all patients of cholesteatoma or cholesteatoma-free status at repeat-look surgery (plus subsequent clinical otoscopic detection). for each observation period by dividing the total
number of recurrences for each observation period by the total
number of patients in the study",,48,36,22,14,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,CWU,CWD,Overall,Recidivism,"findings in all patients of cholesteatoma or cholesteatoma-free status at repeat-look surgery (plus subsequent clinical otoscopic detection). for each observation period by dividing the total
number of recurrences for each observation period by the total
number of patients in the study",,54,36,22,14,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
